urls,precio,calle,altura,metros_totales,metros_cubiertos,ambientes,banios,dormitorios,cocheras
/propiedades/clasificado/veclapin-departamento-de-2-dorm.-en-venta-a-estrenar-52041999.html,179000,Departamento-A-Estrenar-En-Resistencia-2-Dormitorios-Av-Sarmiento,645.0,85.0,85.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-alvear-251-departamento-3-dorm.-2-banos-100-50822059.html,65000,Av-Alvear,251.0,120.0,100.0,5,2.0,3.0,3.0
/propiedades/clasificado/veclapin-departamento-resistencia-50373969.html,125000,Mitre,400.0,82.0,82.0,4,1.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-48472020.html,85000,Santiago-Del-Estero,500.0,75.0,75.0,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-edificio-incone-echeverria-350-departamento-de-tres-51025370.html,65000,Echeverria,250.0,75.0,75.0,4,2.0,1.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-49081625.html,240000,Av-Sarmiento,600.0,122.0,92.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-solar-ameghino-976-departamento-2-dorm.-85-m-sup2--51038302.html,118000,Ameghino,976.0,95.0,85.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-excelente-departamento-en-venta-2-dorm.-conin-iv-51213644.html,200000,Av-Italia,400.0,130.0,98.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-2-dorm.-con-cochera-46236638.html,44000,Av-Marconi,132.0,56.0,56.0,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-solar-ameghino-976-departamento-2-dorm.-85-m-sup2--51038302.html,118000,Ameghino,976.0,95.0,85.0,3,2.0,2.0,1.0
/propiedades/clasificado/veclapin-semipiso-5-ambientes-av-sarmiento-260-microcentro.-51679689.html,140000,Sarmiento,260.0,140.0,110.0,5,3.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-51689013.html,109000,Córdoba,700.0,100.0,67.0,3,1.0,2.0,1.0
/propiedades/clasificado/veclapin-departamento-resistencia-50373969.html,125000,Mitre,400.0,82.0,82.0,4,1.0,3.0,1.0
/propiedades/clasificado/veclapin-departamento-en-santa-fe-88-51485437.html,195000,Santa-Fe,88.0,170.0,136.0,6,3.0,3.0,1.0
/propiedades/clasificado/veclapin-edificio-jose-hernandez-1086.monoambientes-y-cocheras.-46272146.html,25000,José-Hernández,1100.0,33.0,30.0,1,1.0,1.0,1.0
